pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
311.8,-107.6,90.0,top,C1,,,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,1uF,smt
326.2,-111.7,-90.0,top,C2,,,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,0.1uF,smt
322.6,-101.0,180.0,top,C3,,,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,0.1uF,smt
315.4,-101.0,0.0,top,C4,,,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,0.1uF,smt
317.0,-115.0,0.0,top,C5,,,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,10uF,smt
324.2,-120.5925,90.0,top,C6,,,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,22pF,smt
312.2,-120.5925,-90.0,top,C7,,,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,22pF,smt
43.18,-41.13,90.0,bottom,D1,,,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,D_Small,smt
252.73,-41.13,90.0,bottom,D10,,,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,D_Small,smt
271.78,-41.13,90.0,bottom,D11,,,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,D_Small,smt
290.83,-41.13,90.0,bottom,D12,,,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,D_Small,smt
309.88,-41.13,90.0,bottom,D13,,,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,D_Small,smt
333.6925,-41.13,90.0,bottom,D14,,,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,D_Small,smt
352.7425,-41.13,90.0,bottom,D15,,,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,D_Small,smt
371.7925,-41.13,90.0,bottom,D16,,,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,D_Small,smt
43.18,-69.705,90.0,bottom,D17,,,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,D_Small,smt
62.23,-69.705,90.0,bottom,D18,,,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,D_Small,smt
81.28,-69.705,90.0,bottom,D19,,,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,D_Small,smt
81.28,-41.13,90.0,bottom,D2,,,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,D_Small,smt
100.33,-69.705,90.0,bottom,D20,,,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,D_Small,smt
119.38,-69.705,90.0,bottom,D21,,,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,D_Small,smt
138.43,-69.705,90.0,bottom,D22,,,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,D_Small,smt
157.48,-69.705,90.0,bottom,D23,,,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,D_Small,smt
176.53,-69.705,90.0,bottom,D24,,,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,D_Small,smt
195.58,-69.705,90.0,bottom,D25,,,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,D_Small,smt
214.63,-69.705,90.0,bottom,D26,,,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,D_Small,smt
233.68,-69.705,90.0,bottom,D27,,,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,D_Small,smt
252.73,-69.705,90.0,bottom,D28,,,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,D_Small,smt
271.78,-69.705,90.0,bottom,D29,,,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,D_Small,smt
100.33,-41.13,90.0,bottom,D3,,,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,D_Small,smt
300.355,-69.705,90.0,bottom,D30,,,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,D_Small,smt
333.6925,-69.705,90.0,bottom,D31,,,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,D_Small,smt
352.7425,-69.705,90.0,bottom,D32,,,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,D_Small,smt
371.7925,-69.705,90.0,bottom,D33,,,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,D_Small,smt
47.9425,-88.755,90.0,bottom,D34,,,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,D_Small,smt
71.755,-88.755,90.0,bottom,D35,,,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,D_Small,smt
90.805,-88.755,90.0,bottom,D36,,,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,D_Small,smt
109.855,-88.755,90.0,bottom,D37,,,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,D_Small,smt
128.905,-88.755,90.0,bottom,D38,,,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,D_Small,smt
147.955,-88.755,90.0,bottom,D39,,,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,D_Small,smt
